project_id,project_name,sector,start_date,last_update,planned_milestones,completed_milestones,activity_level,org_type,region,priority,budget_total,budget_spent,payment_delay_days,dependency_count,team_size,approval_stage,approval_last_moved,update_channel,risk_notes
P154,Logistics Initiative #465,Logistics,2024-09-15,2025-09-12,8,0,Low,Private,Cairo,Medium,1000000.0,79419.83,14,0,8,Requirements,2025-08-06,Email,Vendor delay
P155,Education Initiative #586,Education,2025-07-25,2025-10-24,16,1,Low,Private,Cairo,Low,10000000.0,0.0,0,1,8,Closed,2025-10-16,Email,
P156,Education Initiative #332,Education,2025-03-29,2025-12-09,14,7,Medium,Private,Cairo,Medium,5000000.0,3254934.42,0,0,12,UAT,2025-11-15,System,Seasonality impact
P157,Manufacturing Initiative #822,Manufacturing,2025-07-04,2025-09-15,10,1,Low,NGO,Delta,High,5000000.0,277886.33,7,1,12,Procurement,2025-08-05,Meeting,Scope clarification needed
P158,Agriculture Initiative #987,Agriculture,2025-07-12,2025-12-12,18,17,Medium,Government,Upper Egypt,Low,3000000.0,2715629.62,0,3,8,UAT,2025-10-30,Email,Scope clarification needed
P159,Infrastructure Initiative #166,Infrastructure,2025-10-22,2025-11-28,11,0,Low,Government,Cairo,Medium,3000000.0,209999.23,7,1,12,Initiation,2025-10-19,Phone,Vendor delay
P160,Logistics Initiative #956,Logistics,2025-02-08,2025-11-26,9,0,Low,Private,Giza,Medium,10000000.0,883694.9,0,2,12,Closed,2025-11-11,Meeting,
P161,SME Initiative #777,SME,2024-10-13,2025-09-19,4,1,Low,Private,Alexandria,Low,500000.0,74012.06,0,1,5,UAT,2025-09-03,Email,Awaiting approval
P162,Logistics Initiative #801,Logistics,2025-10-28,2025-12-12,13,9,Medium,Private,Cairo,Medium,5000000.0,2846411.02,7,1,8,UAT,2025-12-02,System,
P163,IT Initiative #741,IT,2024-10-31,2025-12-05,6,3,High,NGO,Cairo,High,500000.0,183046.77,0,5,5,Closed,2025-12-03,Phone,Resource constraints
P164,SME Initiative #802,SME,2025-03-07,2025-11-05,13,1,Low,NGO,Alexandria,Low,5000000.0,0.0,0,1,3,Execution,2025-11-01,Field Visit,Resource constraints
P165,Finance Initiative #964,Finance,2025-01-07,2025-09-27,3,1,Low,Government,Alexandria,Medium,5000000.0,1728538.38,14,1,12,Requirements,2025-08-24,Email,
P166,SME Initiative #953,SME,2025-03-05,2025-09-28,3,1,Low,Government,Alexandria,High,10000000.0,2197154.9,7,0,8,Initiation,2025-09-19,System,
P167,Agriculture Initiative #332,Agriculture,2025-04-13,2025-12-10,14,13,High,University,Cairo,Low,1000000.0,1000000.0,0,2,8,Requirements,2025-11-25,System,
P168,Training Initiative #798,Training,2025-04-19,2025-11-02,13,10,Medium,Private,Cairo,Low,10000000.0,8238785.82,0,0,8,Execution,2025-10-26,Phone,Awaiting approval
P169,Energy Initiative #703,Energy,2025-06-08,2025-11-20,6,0,Medium,Government,Delta,High,5000000.0,0.0,30,1,3,Requirements,2025-10-29,Field Visit,Vendor delay
P170,Finance Initiative #391,Finance,2025-09-30,2025-11-14,15,3,Low,Private,Alexandria,Low,1000000.0,327833.41,0,0,12,Requirements,2025-11-06,Email,Resource constraints
P171,Infrastructure Initiative #751,Infrastructure,2025-09-26,2025-12-03,3,0,Medium,Government,Alexandria,High,500000.0,73273.2,30,0,35,Initiation,2025-11-23,Phone,Awaiting approval
P172,Training Initiative #99,Training,2024-11-11,2025-11-25,16,8,Medium,Private,Upper Egypt,Medium,3000000.0,1206062.98,14,2,12,Execution,2025-10-30,Phone,Vendor delay
P173,Logistics Initiative #621,Logistics,2025-07-14,2025-11-23,10,8,Medium,NGO,Sinai,Medium,3000000.0,2521743.7,7,5,8,Execution,2025-11-06,Email,
P174,Agriculture Initiative #826,Agriculture,2025-03-05,2025-08-25,4,1,Low,Private,Delta,High,50000000.0,6752350.9,14,0,20,Handover,2025-08-22,Email,Vendor delay
P175,Training Initiative #189,Training,2025-07-01,2025-10-27,8,3,Medium,Private,Suez Canal,Medium,25000000.0,5871807.49,14,5,8,UAT,2025-10-15,Field Visit,Vendor delay
P176,Sports Initiative #731,Sports,2025-07-03,2025-11-29,10,0,Low,Private,Cairo,High,1000000.0,0.0,14,5,20,Procurement,2025-11-26,Meeting,
P177,Manufacturing Initiative #585,Manufacturing,2025-04-14,2025-11-16,5,2,Medium,NGO,Alexandria,Medium,3000000.0,1088733.36,90,2,8,Handover,2025-10-16,System,
P178,Environment Initiative #953,Environment,2025-05-26,2025-09-22,15,2,Low,NGO,Cairo,Low,500000.0,114518.15,7,3,12,UAT,2025-09-20,Email,Payment backlog
P179,Agriculture Initiative #265,Agriculture,2025-03-04,2025-12-13,7,2,Medium,NGO,Cairo,High,1000000.0,445576.37,0,2,12,Procurement,2025-11-15,Meeting,
P180,Infrastructure Initiative #85,Infrastructure,2025-08-06,2025-10-30,3,0,Medium,Private,Delta,High,25000000.0,564467.44,0,1,3,Execution,2025-09-24,Email,
P181,Health Initiative #679,Health,2025-05-17,2025-10-27,6,0,Low,Private,Upper Egypt,Low,500000.0,89820.98,90,1,35,Execution,2025-09-12,Meeting,Awaiting approval
P182,Retail Initiative #870,Retail,2025-08-04,2025-11-22,4,0,Medium,Private,Red Sea,Medium,5000000.0,869753.8,7,2,5,Initiation,2025-11-19,Field Visit,Vendor delay
P183,Sports Initiative #492,Sports,2025-09-20,2025-10-21,16,0,Low,Private,Alexandria,Medium,1000000.0,0.0,0,1,3,Closed,2025-10-14,System,Scope clarification needed
P184,Sports Initiative #362,Sports,2025-10-03,2025-12-18,15,12,High,Private,Giza,Low,500000.0,401954.57,0,3,8,Requirements,2025-11-04,Meeting,
P185,Water & Sanitation Initiative #741,Water & Sanitation,2024-12-05,2025-11-01,10,8,Medium,Government,Giza,Medium,50000000.0,44523688.82,60,2,5,Procurement,2025-10-27,Field Visit,External dependency blocking
P186,Health Initiative #652,Health,2024-12-29,2025-11-16,7,0,Medium,University,Giza,High,1000000.0,0.0,0,0,3,Handover,2025-10-20,Email,Seasonality impact
P187,Manufacturing Initiative #161,Manufacturing,2025-06-08,2025-12-18,5,1,High,Private,Giza,Medium,1000000.0,210355.01,30,3,8,UAT,2025-11-22,Meeting,Awaiting approval
P188,IT Initiative #920,IT,2025-09-18,2025-12-08,12,12,High,NGO,Upper Egypt,Medium,5000000.0,5000000.0,7,0,8,UAT,2025-10-31,Field Visit,
P189,Tourism Initiative #771,Tourism,2024-10-31,2025-12-16,18,12,Medium,NGO,Cairo,High,3000000.0,1844363.99,7,2,3,Closed,2025-12-02,Email,
P190,Culture Initiative #528,Culture,2025-06-15,2025-11-29,16,15,Medium,Private,Cairo,Low,10000000.0,10000000.0,14,3,20,UAT,2025-11-19,Meeting,
P191,Training Initiative #955,Training,2024-10-26,2025-08-20,3,0,Low,Government,Suez Canal,High,1000000.0,9757.03,60,2,5,Closed,2025-07-22,Phone,Awaiting approval
P192,IT Initiative #176,IT,2025-04-28,2025-12-04,18,17,Medium,Private,Red Sea,Medium,5000000.0,4574657.98,30,0,20,Initiation,2025-11-16,Meeting,Awaiting approval
P193,Energy Initiative #834,Energy,2025-07-14,2025-12-06,9,7,High,Private,Giza,High,50000000.0,43327384.19,7,0,5,Closed,2025-12-06,Email,
P194,Finance Initiative #618,Finance,2024-11-10,2025-11-04,11,7,Medium,NGO,Suez Canal,Medium,1000000.0,592114.42,7,2,8,Initiation,2025-10-03,System,Vendor delay
P195,Finance Initiative #831,Finance,2025-02-20,2025-11-23,5,1,Low,University,Alexandria,High,1000000.0,298882.82,30,1,5,Closed,2025-11-08,Meeting,Resource constraints
P196,Training Initiative #663,Training,2025-07-28,2025-11-06,3,2,Medium,Private,Cairo,High,3000000.0,2323568.7,14,8,20,Procurement,2025-09-22,Email,Payment backlog
P197,Sports Initiative #237,Sports,2025-05-06,2025-12-05,12,9,High,NGO,Upper Egypt,Low,1000000.0,644780.45,0,3,12,Requirements,2025-10-23,System,Payment backlog
P198,Environment Initiative #707,Environment,2025-02-11,2025-08-17,16,2,Low,Private,Alexandria,Medium,1000000.0,0.0,14,2,8,Execution,2025-08-05,Phone,
P199,Training Initiative #191,Training,2025-09-27,2025-11-23,7,1,Medium,University,Cairo,High,25000000.0,8454609.56,0,3,5,Initiation,2025-10-23,System,Payment backlog
P200,Tourism Initiative #48,Tourism,2025-04-02,2025-12-19,11,4,Medium,NGO,Cairo,Medium,3000000.0,1442656.72,0,2,12,Execution,2025-11-22,Field Visit,Awaiting approval
